COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009003;OLIVER;17/01/1997;NOX;80
03009003;OLIVER;17/01/1997;O3;27
03009003;OLIVER;17/01/1997;PST;60
03009003;OLIVER;17/01/1997;PB;0,13
03009003;OLIVER;17/01/1997;SO2;25
03009003;OLIVER;18/01/1997;CO;1,3
03009003;OLIVER;18/01/1997;NO;34
03009003;OLIVER;18/01/1997;NO2;31
03009003;OLIVER;18/01/1997;SO2;22
03009003;OLIVER;18/01/1997;O3;30
03009003;OLIVER;18/01/1997;PST;76
03009003;OLIVER;18/01/1997;PB;0,13
03009003;OLIVER;18/01/1997;NOX;83
03009003;OLIVER;19/01/1997;CO;0,9
03009003;OLIVER;19/01/1997;NO;24
03009003;OLIVER;19/01/1997;NO2;22
03009003;OLIVER;19/01/1997;SO2;18
03009003;OLIVER;19/01/1997;O3;31
03009003;OLIVER;19/01/1997;PST;99
03009003;OLIVER;19/01/1997;PB;0,06
03009003;OLIVER;19/01/1997;NOX;60
03009003;OLIVER;20/01/1997;CO;0,6
03009003;OLIVER;20/01/1997;NO;26
03009003;OLIVER;20/01/1997;NO2;25
03009003;OLIVER;20/01/1997;SO2;30
03009003;OLIVER;20/01/1997;O3;30
03009003;OLIVER;20/01/1997;PST;121
03009003;OLIVER;20/01/1997;PB;0,09
03009003;OLIVER;20/01/1997;NOX;66
03009003;OLIVER;21/01/1997;CO;0,7
03009003;OLIVER;21/01/1997;NO;33
03009003;OLIVER;21/01/1997;NO2;29
03009003;OLIVER;21/01/1997;SO2;47
03009003;OLIVER;21/01/1997;O3;15
03009003;OLIVER;21/01/1997;PST;67
03009003;OLIVER;21/01/1997;PB;0,1
03009003;OLIVER;21/01/1997;NOX;80
03009003;OLIVER;22/01/1997;CO;1
03009003;OLIVER;22/01/1997;NO;40
03009003;OLIVER;22/01/1997;NO2;30
03009003;OLIVER;22/01/1997;SO2;54
03009003;OLIVER;22/01/1997;O3;9
